symbol,company_name,sector
RELIANCE.NS,Reliance Industries,Oil & Gas
TCS.NS,Tata Consultancy Services,IT Services
HDFCBANK.NS,HDFC Bank,Banking
ICICIBANK.NS,ICICI Bank,Banking
BHARTIARTL.NS,Bharti Airtel,Telecom
INFY.NS,Infosys,IT Services
ITC.NS,ITC,FMCG
SBIN.NS,State Bank of India,Banking
LT.NS,Larsen & Toubro,Construction
KOTAKBANK.NS,Kotak Mahindra Bank,Banking
ASIANPAINT.NS,Asian Paints,Paints
MARUTI.NS,Maruti Suzuki,Automobile
HCLTECH.NS,HCL Technologies,IT Services
WIPRO.NS,Wipro,IT Services
TITAN.NS,Titan Company,Consumer Goods
ULTRACEMCO.NS,UltraTech Cement,Cement
AXISBANK.NS,Axis Bank,Banking
ONGC.NS,ONGC,Oil & Gas
NESTLEIND.NS,Nestle India,FMCG
POWERGRID.NS,Power Grid Corporation,Utilities
TATAMOTORS.NS,Tata Motors,Automobile
NTPC.NS,NTPC,Utilities
BAJFINANCE.NS,Bajaj Finance,Financial Services
TECHM.NS,Tech Mahindra,IT Services
M&M.NS,Mahindra & Mahindra,Automobile
HINDUNILVR.NS,Hindustan Unilever,FMCG
COALINDIA.NS,Coal India,Mining
INDUSINDBK.NS,IndusInd Bank,Banking
TATASTEEL.NS,Tata Steel,Steel
ADANIPORTS.NS,Adani Ports,Infrastructure
SUNPHARMA.NS,Sun Pharmaceutical,Pharmaceuticals
GRASIM.NS,Grasim Industries,Cement
BAJAJFINSV.NS,Bajaj Finserv,Financial Services
JSWSTEEL.NS,JSW Steel,Steel
DRREDDY.NS,Dr Reddys Labs,Pharmaceuticals
BRITANNIA.NS,Britannia Industries,FMCG
CIPLA.NS,Cipla,Pharmaceuticals
EICHERMOT.NS,Eicher Motors,Automobile
HEROMOTOCO.NS,Hero MotoCorp,Automobile
DIVISLAB.NS,Divis Laboratories,Pharmaceuticals
APOLLOHOSP.NS,Apollo Hospitals,Healthcare
BPCL.NS,Bharat Petroleum,Oil & Gas
SHREECEM.NS,Shree Cement,Cement
TATACONSUM.NS,Tata Consumer Products,FMCG
HINDALCO.NS,Hindalco Industries,Metals
